PRED,PRED_cleaned
"---
ซ็อกเก็ต ปลั๊ก และขั้วต่ออื่นๆ (การเชื่อมต่อทางไฟฟ้า)
",ซ็อกเก็ต ปลั๊ก และขั้วต่ออื่นๆ (การเชื่อมต่อทางไฟฟ้า)
"วัสดุสำหรับส่วนควบคุมไฟฟ้าหลัก (ลวด สายเคเบิล)
",วัสดุสำหรับส่วนควบคุมไฟฟ้าหลัก (ลวด สายเคเบิล)
,
Output: ชิ้นส่วนและอุปกรณ์เสริมสำหรับรถยนต์ โดยเฉพาะอย่างยิ่งฉากป้องกันความร้อน, ชิ้นส่วนและอุปกรณ์เสริมสำหรับรถยนต์ โดยเฉพาะอย่างยิ่งฉากป้องกันความร้อน
Output: บริการวิเคราะห์และงานวิจัยอุตสาหกรรม, บริการวิเคราะห์และงานวิจัยอุตสาหกรรม
Output: ฤทธาษี (ทำจากโลหะ ไม่ใช่ชิ้นส่วนเครื่องจักร), ฤทธาษี (ทำจากโลหะ ไม่ใช่ชิ้นส่วนเครื่องจักร)
,
Output: จุกปิดโลหะ (สำหรับบรรจุภัณฑ์อุตสาหกรรม), จุกปิดโลหะ (สำหรับบรรจุภัณฑ์อุตสาหกรรม)
"Output: บรรจุภัณฑ์โลหะอุตสาหกรรม (ยกเว้น “ที่ปิดขวด, ฝา และจุก”)"," บรรจุภัณฑ์โลหะอุตสาหกรรม (ยกเว้น ที่ปิดขวด, ฝา และจุก)"
Output: ข้อต่อท่อโลหะและข้อต่อหลอดโลหะ, ข้อต่อท่อโลหะและข้อต่อหลอดโลหะ
"Output: วาล์ว (ทำจากโลหะ ไม่ใช่ชิ้นส่วนของเครื่องจักร)
", วาล์ว (ทำจากโลหะ ไม่ใช่ชิ้นส่วนของเครื่องจักร)
Output: ผลิตภัณฑ์อาหารที่ทำจากถั่วแห้ง, ผลิตภัณฑ์อาหารที่ทำจากถั่วแห้ง
"Output: สารฆ่าเชื้อโรค โดยเฉพาะอย่างยิ่งสารฆ่าเชื้อโรคเพื่อสุขอนามัย สารฆ่าเชื้อโรคเพื่อการใช้งานด้านสุขาภิบาล สารฆ่าเชื้อโรคสำหรับการใช้ในครัวเรือน และสารฆ่าเชื้อโรคสำหรับสระว่ายน้ำ
", สารฆ่าเชื้อโรค โดยเฉพาะอย่างยิ่งสารฆ่าเชื้อโรคเพื่อสุขอนามัย สารฆ่าเชื้อโรคเพื่อการใช้งานด้านสุขาภิบาล สารฆ่าเชื้อโรคสำหรับการใช้ในครัวเรือน และสารฆ่าเชื้อโรคสำหรับสระว่ายน้ำ
Output: สารฆ่าเชื้อสำหรับการบำบัดอากาศและสารก๊าซอื่นๆ, สารฆ่าเชื้อสำหรับการบำบัดอากาศและสารก๊าซอื่นๆ
Output: สารฆ่าเชื้อสำหรับการบำบัดน้ำและวัสดุลื่นอื่นๆ, สารฆ่าเชื้อสำหรับการบำบัดน้ำและวัสดุลื่นอื่นๆ
Output: อากาศอัดในกระป๋อง สำหรับทำความสะอาด, อากาศอัดในกระป๋อง สำหรับทำความสะอาด
Output: ของเหลวทำความสะอาดกระจกรถยนต์, ของเหลวทำความสะอาดกระจกรถยนต์
Output: ผงฝุ่นจากหินไมกา สำหรับรักษาเครื่องแต่งกาย, ผงฝุ่นจากหินไมกา สำหรับรักษาเครื่องแต่งกาย
