PRED,PRED_cleaned
"socket, ปลั๊กและตัวผูกอื่น ๆ (การเชื่อมต่อทางไฟฟ้า)",", ปลั๊กและตัวผูกอื่น ๆ (การเชื่อมต่อทางไฟฟ้า)"
วัตถุที่ใช้สำหรับแผงจูงไฟฟ้าหลัก (สายไฟ สายเคเบิล),วัตถุที่ใช้สำหรับแผงจูงไฟฟ้าหลัก (สายไฟ สายเคเบิล)
องค์ประกอบของเครื่องมือที่ใช้พลังงานไฟฟ้าและวัตถุที่จึงใช้โดยเฉพาะสำหรับเครื่องมือที่ใช้พลังงานไฟฟ้า,องค์ประกอบของเครื่องมือที่ใช้พลังงานไฟฟ้าและวัตถุที่จึงใช้โดยเฉพาะสำหรับเครื่องมือที่ใช้พลังงานไฟฟ้า
"Componentes i accessoris per a cotxecs, en concret les pantallotes de protecció tèrmica","     ,       "
Service ที่ใช้ตอบปัญหาและพัฒนารูปแบบของผลิตภัณฑ์โดยงานวิจัยทางอุตสาหกรรม, ที่ใช้ตอบปัญหาและพัฒนารูปแบบของผลิตภัณฑ์โดยงานวิจัยทางอุตสาหกรรม
Springs ที่ใช้โลหะซึ่งไม่ใช่องค์ประกอบของเครื่องจักร, ที่ใช้โลหะซึ่งไม่ใช่องค์ประกอบของเครื่องจักร
Covered lid/capที่ใช้โลหะ (สำหรับภาชนะบรรจุอุตสาหกรรม), /ที่ใช้โลหะ (สำหรับภาชนะบรรจุอุตสาหกรรม)
Topper โลหะ (สำหรับภาชนะบรรจุในอุตสาหกรรม), โลหะ (สำหรับภาชนะบรรจุในอุตสาหกรรม)
Container บรรจุภัณฑ์อุตสาหกรรมที่ใช้โลหะผลิตขึ้น (ซึ่งไม่รวมถึงฝาปิดและฝาพลาสติก), บรรจุภัณฑ์อุตสาหกรรมที่ใช้โลหะผลิตขึ้น (ซึ่งไม่รวมถึงฝาปิดและฝาพลาสติก)
Output : ข้อต่อท่อและท่อโลหะ, : ข้อต่อท่อและท่อโลหะ
valve (โลหะที่ไม่ใช่องค์ประกอบของเครื่องจักร), (โลหะที่ไม่ใช่องค์ประกอบของเครื่องจักร)
Products derived by making foods with nut dryers as raw materials,          
Disinfektแอนต์ โดยเฉพาะผงซักฟอกฆ่าเชื้อที่ใช้สำหรับปฏิบัติตามข้อกำหนดด้านสถานีสูญญาณ ผงซักฟอกฆ่าเชื้อที่ใช้สำหรับจัดการสภาพสุขอนามัย ผงซักฟอกฆ่าเชื้อที่ใช้สำหรับใช้ในครัวเรือน และผงซักฟอกฆ่าเชื้อที่ใช้สำหรับสระว่ายน้ำ,แอนต์ โดยเฉพาะผงซักฟอกฆ่าเชื้อที่ใช้สำหรับปฏิบัติตามข้อกำหนดด้านสถานีสูญญาณ ผงซักฟอกฆ่าเชื้อที่ใช้สำหรับจัดการสภาพสุขอนามัย ผงซักฟอกฆ่าเชื้อที่ใช้สำหรับใช้ในครัวเรือน และผงซักฟอกฆ่าเชื้อที่ใช้สำหรับสระว่ายน้ำ
Disinfektแอนต์สำหรับทำให้อากาศและวัตถุรูปแบบก๊าซชนิดอื่นๆ ปราศจากโรคติดเชื้อ,แอนต์สำหรับทำให้อากาศและวัตถุรูปแบบก๊าซชนิดอื่นๆ ปราศจากโรคติดเชื้อ
Disinfektแอนต์ที่ใช้ปฏิบัติการของน้ำและวัตถุเหลวอื่นๆ,แอนต์ที่ใช้ปฏิบัติการของน้ำและวัตถุเหลวอื่นๆ
Air compressedในกระป๋องที่ใช้สำหรับทำความสะอาด, ในกระป๋องที่ใช้สำหรับทำความสะอาด
Below,
Powder talc ที่ใช้ป้องกันผื่นขณะอยู่ในชุดแต่งกาย,  ที่ใช้ป้องกันผื่นขณะอยู่ในชุดแต่งกาย
Preparationที่ใช้ขจัดตะกอนปูผงสำหรับใช้ในครัวเรือน,ที่ใช้ขจัดตะกอนปูผงสำหรับใช้ในครัวเรือน
Preparationสำหรับทำความสะอาดของปลอมและฟัน,สำหรับทำความสะอาดของปลอมและฟัน
ผลิตภัณฑ์ที่ใช้ขจัดแว็กซ์พื้น [น้ำยาทำความสะอาด],ผลิตภัณฑ์ที่ใช้ขจัดแว็กซ์พื้น [น้ำยาทำความสะอาด]
ผลิตภัณฑ์ที่ใช้สำหรับทำความสะอาดและปรับกลิ่นของพื้นที่โซนสีชมพู,ผลิตภัณฑ์ที่ใช้สำหรับทำความสะอาดและปรับกลิ่นของพื้นที่โซนสีชมพู
Preparationสำหรับทำให้พับผ้าแข็งตึง [ประจุแป้ง],สำหรับทำให้พับผ้าแข็งตึง [ประจุแป้ง]
Component used on making leafs moisturizing spray liquid formulation that provide water retention effect at plant level <en>  Components such as composition giving shine effects onto trees' foliage,                           ' 
Below mentioned degreasants excluding these ones used during production process,         
N้ำมันที่ใช้สำหรับบำรุงรักษาระบบประปา,้ำมันที่ใช้สำหรับบำรุงรักษาระบบประปา
Adhesivs สำหรับติดขนตาปลอม, สำหรับติดขนตาปลอม
Diskenผงที่ชุบอยู่ในสารป้องกันแต่งหน้า,ผงที่ชุบอยู่ในสารป้องกันแต่งหน้า
Dispenser box containing disposal tissues soaked by creams used as a moisturizing agent <en> แพ็กเกจที่ใช้ซึ่งประกอบด้วยผ้าเช็ดของใช้แล้วทิ้งที่ถูกฉีดโลชั่นเตือนฝ้ายเป็นสารทำให้ผิวนุ่ม,              แพ็กเกจที่ใช้ซึ่งประกอบด้วยผ้าเช็ดของใช้แล้วทิ้งที่ถูกฉีดโลชั่นเตือนฝ้ายเป็นสารทำให้ผิวนุ่ม
Preparationสำหรับทำผมดีดฉี่,สำหรับทำผมดีดฉี่
Preparationของผลิตภัณฑ์เพื่อประโยชน์ในที่แถบขนตาปลูก,ของผลิตภัณฑ์เพื่อประโยชน์ในที่แถบขนตาปลูก
Stone used as a tool with sharp edges that can cut off excess materials on workpieces suchas metal sheets by pressing it against them while stones have been made into various shapes like balls so theycan be easily held onto handles <en> 0106 Stoning tools - rocks which smooth out rough surfaces after grinding down burrs left behind during previous operations using sandpaper. 0211 Grindstone wheels,                                             -                 .   
Petal แห้งของดอกกุหลาบ [ผลิตภัณฑ์ที่ใช้ประโยชน์จากกลิ่นหอมและน้ำหอม], แห้งของดอกกุหลาบ [ผลิตภัณฑ์ที่ใช้ประโยชน์จากกลิ่นหอมและน้ำหอม]
Preparationของผงซักฟอกที่ใช้ต้านจุลชีพและฆ่าเชื้อโรคสำหรับปูนปลาสเตอร์,ของผงซักฟอกที่ใช้ต้านจุลชีพและฆ่าเชื้อโรคสำหรับปูนปลาสเตอร์
Sารีดผงที่ใช้ซึ่งไม่ใช้สำหรับปฏิบัติการของโรงงานและไม่ใช้สำหรับจุดประสงค์ทางการแพทย์,ารีดผงที่ใช้ซึ่งไม่ใช้สำหรับปฏิบัติการของโรงงานและไม่ใช้สำหรับจุดประสงค์ทางการแพทย์
Stikerตกแต่งที่ใช้สำหรับผลิตภัณฑ์เพื่อประโยชน์ของเครื่องสำอาง,ตกแต่งที่ใช้สำหรับผลิตภัณฑ์เพื่อประโยชน์ของเครื่องสำอาง
Stickersตกแต่งของเล็บ,ตกแต่งของเล็บ
Deodorantที่ใช้สำหรับผู้หญิงและผู้ชาย,ที่ใช้สำหรับผู้หญิงและผู้ชาย
gel ใช้นวดที่ไม่ใช้สำหรับจุดประสงค์ทางการแพทย์, ใช้นวดที่ไม่ใช้สำหรับจุดประสงค์ทางการแพทย์
N้ำใช้ล้างปากที่ไม่ใช้สำหรับจุดประสงค์ทางการแพทย์,้ำใช้ล้างปากที่ไม่ใช้สำหรับจุดประสงค์ทางการแพทย์
Conditioner ที่ไม่ใช้ตอนป่วยโรค, ที่ไม่ใช้ตอนป่วยโรค
Additiveที่ใช้ประโภคแต่งของเครื่องดื่ม [น้ำมันหอมระเหย],ที่ใช้ประโภคแต่งของเครื่องดื่ม [น้ำมันหอมระเหย]
Substanzeที่ใช้ตึงผิวแข็งสำหรับจุดประสงค์ด้านเครื่องสำอาง,ที่ใช้ตึงผิวแข็งสำหรับจุดประสงค์ด้านเครื่องสำอาง
creamer cleansersที่ใช้ประจำตอนเช้าและเข้าร่วมงีบหลับกลางวันโดยไม่มีผลทางการแพทย์, ที่ใช้ประจำตอนเช้าและเข้าร่วมงีบหลับกลางวันโดยไม่มีผลทางการแพทย์
ผงซักผ้าที่ใช้สำหรับถือของแตะ [สูตร] ผงซักผ้าสำหรับใช้ในประจำบ้าน,ผงซักผ้าที่ใช้สำหรับถือของแตะ [สูตร] ผงซักผ้าสำหรับใช้ในประจำบ้าน
Agentsที่ใช้ทำความสะอาดสำหรับผู้ใช้ส่วนตัว,ที่ใช้ทำความสะอาดสำหรับผู้ใช้ส่วนตัว
N้ำใช้ล้างปากที่ไม่ใช้ตอนแพทย์ ขจัดคราบผื่นฝีและโซดูร์,้ำใช้ล้างปากที่ไม่ใช้ตอนแพทย์ ขจัดคราบผื่นฝีและโซดูร์
"đông y dưỡng da, đông tây thoa lên người cho vẻ bề ngoài, đồ chăm sóc răng, đồ là sạch hành nghề","   ,         ,    ,     "
creme ที่ใช้ขจัดสิ่งต่อต้านผิว ครีมปลูกฝังผิวแพ้ง่าย โลชั่นซึ่งใช้ถือเป็นส่วนประกอบสำคัญในการฉีดภาษาฮินดู ครีมที่ใช้ขจัดขน ครีมที่ใช้ปรับสีผิวให้สองสี ครีมต่อต้านริ้วรอย ครีมบำรุงผิว ครีมบำรุงมือ ครีมสำหรับกำจัดขน, ที่ใช้ขจัดสิ่งต่อต้านผิว ครีมปลูกฝังผิวแพ้ง่าย โลชั่นซึ่งใช้ถือเป็นส่วนประกอบสำคัญในการฉีดภาษาฮินดู ครีมที่ใช้ขจัดขน ครีมที่ใช้ปรับสีผิวให้สองสี ครีมต่อต้านริ้วรอย ครีมบำรุงผิว ครีมบำรุงมือ ครีมสำหรับกำจัดขน
"Sียืดผม, โลชั่นป้องกันแสงแดด, ครีมที่ไม่ใช่ยารักษาอาการ, ครีม [เพื่อการแต่งหน้า], ครีมป้องกันฝุ่น, ครีมให้ความชุ่มฉ่ำ, ครีมขจัดขน, ครีมกลางวัน","ียืดผม, โลชั่นป้องกันแสงแดด, ครีมที่ไม่ใช่ยารักษาอาการ, ครีม [เพื่อการแต่งหน้า], ครีมป้องกันฝุ่น, ครีมให้ความชุ่มฉ่ำ, ครีมขจัดขน, ครีมกลางวัน"
Hand wipersที่ชุบและผสมโลชั่นเพื่อประสงค์เสริมความงาม, ที่ชุบและผสมโลชั่นเพื่อประสงค์เสริมความงาม
