PRED,PRED_cleaned
"Output: ช่องเสียบ ปลั๊ก และขั้วต่ออื่นๆ (การเชื่อมต่อทางไฟฟ้า)
", ช่องเสียบ ปลั๊ก และขั้วต่ออื่นๆ (การเชื่อมต่อทางไฟฟ้า)
"วัสดุสำหรับส่วนควบคุมไฟฟ้าหลัก (ลวด สายเคเบิล)
",วัสดุสำหรับส่วนควบคุมไฟฟ้าหลัก (ลวด สายเคเบิล)
,
Output: ชิ้นส่วนและอุปกรณ์เสริมสำหรับรถยนต์ โดยเฉพาะอย่างยิ่งฉากป้องกันความร้อน, ชิ้นส่วนและอุปกรณ์เสริมสำหรับรถยนต์ โดยเฉพาะอย่างยิ่งฉากป้องกันความร้อน
Output: บริการวิเคราะห์และวิจัยทางอุตสาหกรรม, บริการวิเคราะห์และวิจัยทางอุตสาหกรรม
"Output: สปริง (ของโลหะ นอกเหนือจากชิ้นส่วนเครื่องจักรกล)
", สปริง (ของโลหะ นอกเหนือจากชิ้นส่วนเครื่องจักรกล)
"Output: ฝาปิดโลหะและจุกปิด (สำหรับบรรจุภัณฑ์อุตสาหกรรม)
", ฝาปิดโลหะและจุกปิด (สำหรับบรรจุภัณฑ์อุตสาหกรรม)
"Output: จุกปิดขวดโลหะ (สำหรับบรรจุภัณฑ์อุตสาหกรรม)
", จุกปิดขวดโลหะ (สำหรับบรรจุภัณฑ์อุตสาหกรรม)
"Output: บรรจุภัณฑ์โลหะเพื่ออุตสาหกรรม (ยกเว้น “ที่ปิดขวด, ฝา และจุก)”
"," บรรจุภัณฑ์โลหะเพื่ออุตสาหกรรม (ยกเว้น ที่ปิดขวด, ฝา และจุก)"
Output: ข้อต่อท่อโลหะและข้อต่อหลอดโลหะ, ข้อต่อท่อโลหะและข้อต่อหลอดโลหะ
"Output: วาล์ว (ทำจากโลหะ ไม่ใช่ชิ้นส่วนของเครื่องจักร)
", วาล์ว (ทำจากโลหะ ไม่ใช่ชิ้นส่วนของเครื่องจักร)
Output: ผลิตภัณฑ์อาหารที่ทำจากถั่วแห้ง, ผลิตภัณฑ์อาหารที่ทำจากถั่วแห้ง
"ฆอทะยานต์ โดยเฉพาะอย่างยิ่ง ฆอทะยานต์เพื่อสุขอนามัย ฆอทะยานต์สำหรับการใช้งานในห้องน้ำ ฆอทะยานต์สำหรับใช้ภายในบ้าน และ ฆอทะยานต์สำหรับสระว่ายน้ำ
",ฆอทะยานต์ โดยเฉพาะอย่างยิ่ง ฆอทะยานต์เพื่อสุขอนามัย ฆอทะยานต์สำหรับการใช้งานในห้องน้ำ ฆอทะยานต์สำหรับใช้ภายในบ้าน และ ฆอทะยานต์สำหรับสระว่ายน้ำ
Output: สารฆ่าเชื้อสำหรับการบำบัดอากาศและสารก๊าซอื่นๆ, สารฆ่าเชื้อสำหรับการบำบัดอากาศและสารก๊าซอื่นๆ
Output: สารฆ่าเชื้อสำหรับการบำบัดน้ำและวัสดุลื่นอื่นๆ, สารฆ่าเชื้อสำหรับการบำบัดน้ำและวัสดุลื่นอื่นๆ
Output: อากาศอัดในกระป๋อง สำหรับทำความสะอาด, อากาศอัดในกระป๋อง สำหรับทำความสะอาด
Output: ของเหลวทำความสะอาดกระจกรถยนต์, ของเหลวทำความสะอาดกระจกรถยนต์
Output: ผงฝุ่นจากหินไมกาเพื่อรักษาเครื่องแต่งกาย, ผงฝุ่นจากหินไมกาเพื่อรักษาเครื่องแต่งกาย
Output: สารทำความสะอาดตะกรันเพื่อใช้ในครัวเรือน, สารทำความสะอาดตะกรันเพื่อใช้ในครัวเรือน
Output: ยาเตรียมทำความสะอาดฟันและทันตภัณฑ์, ยาเตรียมทำความสะอาดฟันและทันตภัณฑ์
"Output: น้ำยาขจัดเคลือบพื้น [น้ำยาทำความสะอาด]
", น้ำยาขจัดเคลือบพื้น [น้ำยาทำความสะอาด]
