PRED,PRED_cleaned
"---
ซ็อกเก็ต ปลั๊ก และขั้วต่ออื่นๆ (การเชื่อมต่อทางไฟฟ้า)
",ซ็อกเก็ต ปลั๊ก และขั้วต่ออื่นๆ (การเชื่อมต่อทางไฟฟ้า)
"วัสดุสำหรับส่วนควบคุมไฟฟ้าหลัก (ลวด สายเคเบิล)
",วัสดุสำหรับส่วนควบคุมไฟฟ้าหลัก (ลวด สายเคเบิล)
,
"---
ชิ้นส่วนและอุปกรณ์เสริมสำหรับรถยนต์ โดยเฉพาะอย่างยิ่งฉากป้องกันความร้อน
",ชิ้นส่วนและอุปกรณ์เสริมสำหรับรถยนต์ โดยเฉพาะอย่างยิ่งฉากป้องกันความร้อน
Output: บริการวิเคราะห์และงานวิจัยอุตสาหกรรม, บริการวิเคราะห์และงานวิจัยอุตสาหกรรม
Output: สปริง (ของโลหะ ไม่ใช่ชิ้นส่วนเครื่องจักรกล), สปริง (ของโลหะ ไม่ใช่ชิ้นส่วนเครื่องจักรกล)
,
Output: จุกปิดขวดโลหะ (สำหรับบรรจุภัณฑ์อุตสาหกรรม), จุกปิดขวดโลหะ (สำหรับบรรจุภัณฑ์อุตสาหกรรม)
"Output: บรรจุภัณฑ์โลหะอุตสาหกรรม (ยกเว้น “ที่ปิดขวด, ฝาและจุก”)"," บรรจุภัณฑ์โลหะอุตสาหกรรม (ยกเว้น ที่ปิดขวด, ฝาและจุก)"
Output: ข้อต่อท่อและข้อต่อหลอดโลหะ, ข้อต่อท่อและข้อต่อหลอดโลหะ
Output: วาล์ว (ของโลหะ นอกเหนือจากชิ้นส่วนเครื่องจักร), วาล์ว (ของโลหะ นอกเหนือจากชิ้นส่วนเครื่องจักร)
Output: ผลิตภัณฑ์อาหารที่ทำจากถั่วแห้ง, ผลิตภัณฑ์อาหารที่ทำจากถั่วแห้ง
Output: สารฆ่าเชื้อโรค โดยเฉพาะอย่างยิ่งสารฆ่าเชื้อโรคเพื่อสุขอนามัย สารฆ่าเชื้อโรคสำหรับการใช้งานด้านสุขาภิบาล สารฆ่าเชื้อโรคสำหรับใช้ในครัวเรือน และสารฆ่าเชื้อโรคสำหรับสระว่ายน้ำ, สารฆ่าเชื้อโรค โดยเฉพาะอย่างยิ่งสารฆ่าเชื้อโรคเพื่อสุขอนามัย สารฆ่าเชื้อโรคสำหรับการใช้งานด้านสุขาภิบาล สารฆ่าเชื้อโรคสำหรับใช้ในครัวเรือน และสารฆ่าเชื้อโรคสำหรับสระว่ายน้ำ
Output: สารฆ่าเชื้อสำหรับการบำบัดอากาศและสารก๊าซอื่นๆ, สารฆ่าเชื้อสำหรับการบำบัดอากาศและสารก๊าซอื่นๆ
Output: สารฆ่าเชื้อสำหรับการบำบัดน้ำและวัสดุลื่นอื่นๆ, สารฆ่าเชื้อสำหรับการบำบัดน้ำและวัสดุลื่นอื่นๆ
Output: อากาศอัดในกระป๋อง สำหรับทำความสะอาด, อากาศอัดในกระป๋อง สำหรับทำความสะอาด
Output: ของเหลวทำความสะอาดกระจกรถยนต์, ของเหลวทำความสะอาดกระจกรถยนต์
Output: ผงฝุ่นจากหินไมกาเพื่อรักษาเครื่องแต่งกาย, ผงฝุ่นจากหินไมกาเพื่อรักษาเครื่องแต่งกาย
Output: สารทำความสะอาดตะกรันเพื่อการใช้งานในครัวเรือน, สารทำความสะอาดตะกรันเพื่อการใช้งานในครัวเรือน
