ID,PRED,PRED_cleaned,WER,CER
1,,,1.0,1.0
2,,,1.0,1.0
3,เครื่องมือวัดทางไฟฟ้าและวัสดุทุ่มเทให้เครื่องมือวัดทางไฟฟ้า,เครื่องมือวัดทางไฟฟ้าและวัสดุทุ่มเทให้เครื่องมือวัดทางไฟฟ้า,1.0,0.6981132075471698
4,,,1.0,1.0
5,,,1.0,1.0
6,,,1.0,1.0
7,,,1.0,1.0
8,,,1.0,1.0
9,,,1.0,1.0
10,"metal pipes and tubes
common metals and their alloys
ores
metal materials for building and construction
transportable buildings of metal
non-electric cables and wires of common metal
small items of metal hardware
metal containers for storage or transport
safes
",                              ,1.0,1.0
11,"metal pipes being parts of machines
pipes and tubes made of metal
pipe fittings of metal
fittings of metal for pipework
parts of valves [machine elements]
tubes of metal
tube couplings of metal
couplings of metal for tube work
gaskets of metal
washers of metal
screws of metal
nuts of metal
bolts of metal
rivets of metal
nails of metal
hooks of metal
hinges of metal
handles of metal
locks of metal
keys of metal
chains of metal
wire ropes of metal
cables of metal
springs of metal
safety pins of metal
pins of metal
staples of metal
clips of metal
clamps of metal
rings of metal
hoops of metal
bands of metal
buttons of metal
studs of metal
buckles of metal
clasps of metal
fasteners of metal
anchors of metal
spikes of metal
tacks of metal
nails of metal
screws of metal
nuts of metal
bolts of metal
rivets of metal
nails of metal
hooks of metal
hinges of metal
handles of metal
locks of metal
keys of metal
chains of metal
wire ropes of metal
cables of metal
springs of metal
safety pins of metal
pins of metal
staples of metal
clips of metal
clamps of metal
rings of metal
hoops of metal
bands of metal
buttons of metal
studs of metal
buckles of metal
clasps of metal
fasteners of metal
anchors of metal
spikes of metal
tacks of metal
",                    [ ]                                                                                                                                            ,1.0,0.9629629629629629
12,,,1.0,1.0
13,,,1.0,1.0
14,,,1.0,1.0
15,,,1.0,1.0
16,,,1.0,1.0
17,,,1.0,1.0
